id,Response
381110,0.004135896716577187
381111,0.7825211130879988
381112,0.7488830626874298
381113,0.026648697431464176
381114,0.0026172533078802416
381115,0.0004960491450424383
381116,0.00457688125989537
381117,0.000368504905455731
381118,0.7778555230072737
381119,0.0027380889112080986
381120,0.0047149425631186044
381121,0.6173978479324546
381122,0.0012248126678578947
381123,0.7496992531996871
381124,0.6724110054850179
381125,0.001613003915300944
381126,0.451551679759165
381127,0.749664581552128
381128,0.0008510072739597598
381129,0.0014104838793744762
381130,0.0019027213119746586
381131,0.0007171935323377892
381132,0.26419493482210354
381133,0.7784675748057007
381134,0.6753556232123636
381135,0.012957991184017161
381136,0.000800020703174394
381137,0.0024237950818815548
381138,0.0022822243804928055
381139,0.0002291695823477414
381140,0.6072120297222847
381141,0.0012897454279906851
381142,0.001404796419443992
381143,0.0022221851436162302
381144,0.41485290197721825
381145,0.7895103652852078
381146,0.001036146965998116
381147,0.23913817517874777
381148,0.0025068073517103915
381149,0.0013741307417100637
381150,0.7487054174015025
381151,0.7500550688151502
381152,0.002944166002671592
381153,0.7693816472917004
381154,0.787017779445077
381155,0.7968928566345425
381156,0.0019186512650736294
381157,0.17830042143285654
381158,0.693866762429111
381159,0.6742982590615927
381160,0.7411401448369734
381161,0.052617113232886495
381162,0.002487775480112082
381163,0.7481617493478173
381164,0.0008950827699041443
381165,0.47061168579262935
381166,0.6617867092436629
381167,0.000968684089897706
381168,0.0007652266106200743
381169,0.1708974938554483
381170,0.0006005236158538985
381171,0.00033411637490108167
381172,0.7857011339113579
381173,0.5653324264036009
381174,0.001121589218121802
381175,0.00042545977942982677
381176,0.0019255573406850102
381177,0.7371974454806646
381178,0.6243083117250403
381179,0.0010108713589816823
381180,0.06133741955316173
381181,0.00016360971018647202
381182,0.7399093056249657
381183,0.0002761718681087082
381184,0.008264606594330658
381185,0.0007536235815479926
381186,0.7872249014464986
381187,0.7917055108772989
381188,0.6127054782353013
381189,0.2830104456631973
381190,0.002859215768623616
381191,0.6890997692733182
381192,0.7702269092944627
381193,0.0045378442155821225
381194,0.7777332799496149
381195,0.31703257509795213
381196,0.003855914987664381
381197,0.2366277498667804
